question.slug,National, AL   , AK   , AZ   , AR   , CA   , CO   , CT   , DE   , DC   , FL   , GA   , HI   , ID   , IL   , IN   , IA   , KS   , KY   , LA   , ME   , MD   , MA   , MI   , MN   , MS   , MO   , MT   , NE   , NV   , NH   , NJ   , NM   , NY   ,NYC, NC   , ND   , OH   , OK   , OR   , PA   ,Allegheny    , RI   , SC   , SD   , TN   , TX   , UT   , VT   , VA   , WA   , WV   , WI   , WY   
p_of_parents_program_public_school_bldg,72.7,75.8,87.5,45.8,81.8,72.7,79.8,82.4,50.3,79.5,81.6,76.4,75.5,76.1,79.1,67.5,86.7,62.4,83.4,67.6,71.9,63.9,70,80.9,79,76.9,86.9,74.8,50.1,80,58.4,82.3,66.7,77.3,77.9,50.5,74.5,71.6,74.4,63.8,57.2,71.6,69.6,66.1,67.7,69.4,69.6,72.6,85.1,68.1,69.6,70.7,85.1,82.8
ans_1_program_provider,Public school,Afterschool program run by a public school,Afterschool program run by a public school,Afterschool program run by a public school,Afterschool program run by a public school,Afterschool program run by a public school,Afterschool program run by a public school,Afterschool program run by a public school,Boys & Girls Club afterschool program,Other,Afterschool program run by a public school,Afterschool program run by a public school,Afterschool program run by a public school,Afterschool program run by a public school,Afterschool program run by a public school,Afterschool program run by a public school,Afterschool program run by a public school,Afterschool program run by a public school,Afterschool program run by a public school,Afterschool program run by a public school,Afterschool program run by a public school,Afterschool program run by a public school,Afterschool program run by a public school,Afterschool program run by a public school,Afterschool program run by a public school,Afterschool program run by a public school,Afterschool program run by a public school,Afterschool program run by a public school,Afterschool program run by a public school,Afterschool program run by a public school,Afterschool program run by a child care center,Afterschool program run by a public school,Afterschool program run by a public school,Afterschool program run by a public school,Afterschool program run by a public school,Afterschool program run by a public school,Afterschool program run by a public school,Afterschool program run by a public school,Afterschool program run by a public school,Boys & Girls Club afterschool program,Afterschool program run by a public school,Afterschool program run by a public school,Afterschool program run by a public school,Afterschool program run by a public school,Afterschool program run by a public school,Afterschool program run by a public school,Afterschool program run by a public school,Afterschool program run by a public school,Afterschool program run by a public school,Afterschool program run by a public school,Afterschool program run by a public school,Afterschool program run by a public school,Afterschool program run by a public school,Afterschool program run by a public school
ans_2_program_provider,Boys & Girls Club,Afterschool program run by religious organization,Afterschool program run by city or town (including Parks and Recreation Department),Afterschool program run by city or town (including Parks and Recreation Department),Boys & Girls Club afterschool program,Boys & Girls Club afterschool program,Afterschool program run by city or town (including Parks and Recreation Department),YMCA afterschool program,Afterschool program run by private school,Afterschool program run by a public school,YMCA afterschool program,YMCA afterschool program,YMCA afterschool program,Other,Afterschool program run by religious organization,YMCA afterschool program,Boys & Girls Club afterschool program,YMCA afterschool program,YMCA afterschool program,Boys & Girls Club afterschool program,Afterschool program run by city or town (including Parks and Recreation Department),Other,YMCA afterschool program,Other,YMCA afterschool program,4-H afterschool program,YMCA afterschool program,YMCA afterschool program,Afterschool program run by private school,Boys & Girls Club afterschool program,Boys & Girls Club afterschool program,YMCA afterschool program,Boys & Girls Club afterschool program,Boys & Girls Club afterschool program,Boys & Girls Club afterschool program,Afterschool program run by religious organization,YMCA afterschool program,YMCA afterschool program,YMCA afterschool program,Afterschool program run by a public school,YMCA afterschool program,Boys & Girls Club afterschool program,Afterschool program run by city or town (including Parks and Recreation Department),YMCA afterschool program,Other,Boys & Girls Club afterschool program,YMCA afterschool program,Boys & Girls Club afterschool program,Other,Afterschool program run by private school,Boys & Girls Club afterschool program,Afterschool program run by religious organization,YMCA afterschool program,Boys & Girls Club afterschool program
ans_3_program_provider,YMCA,Boys & Girls Club afterschool program,Other,Afterschool program run by private school,YMCA afterschool program,Other,Boys & Girls Club afterschool program,Boys & Girls Club afterschool program,Afterschool program run by a public school,Boys & Girls Club afterschool program,Boys & Girls Club afterschool program,Boys & Girls Club afterschool program,Afterschool program run by private school,Boys & Girls Club afterschool program,YMCA afterschool program,Boys & Girls Club afterschool program,Afterschool program run by city or town (including Parks and Recreation Department),Boys & Girls Club afterschool program,Boys & Girls Club afterschool program,Afterschool program run by private school,Other,Afterschool program run by private school,Other,YMCA afterschool program,Afterschool program run by library,Boys & Girls Club afterschool program,Boys & Girls Club afterschool program,Other,4-H afterschool program,After-School All-Stars,Afterschool program run by a public school,Boys & Girls Club afterschool program,YMCA afterschool program,YMCA afterschool program,YMCA afterschool program,Other,Afterschool program run by city or town (including Parks and Recreation Department),Afterschool program run by library,Boys & Girls Club afterschool program,Afterschool program run by private school,Other,YMCA afterschool program,Afterschool program run by library,Afterschool program run by a child care center,Boys & Girls Club afterschool program,YMCA afterschool program,Boys & Girls Club afterschool program,Afterschool program run by library,Afterschool program run by city or town (including Parks and Recreation Department),Boys & Girls Club afterschool program,YMCA afterschool program,YMCA afterschool program,Boys & Girls Club afterschool program,Other
ans_4_program_provider,,,Boys & Girls Club afterschool program,,,Afterschool program run by private school,,,,Afterschool program run by private school,,,,4-H afterschool program,,,,,,,Afterschool program run by a child care center,Afterschool program run by a child care center,Afterschool program run by city or town (including Parks and Recreation Department),Afterschool program run by city or town (including Parks and Recreation Department),,,,Afterschool program run by city or town (including Parks and Recreation Department),,,,,,,,YMCA afterschool program,,,,,Boys & Girls Club afterschool program,,,,Afterschool program run by religious organization,,,,YMCA afterschool program,,,,,Afterschool program run by city or town (including Parks and Recreation Department)
p_of_boys_program,51,41.1,49.7,58.8,59.6,52.9,40.4,52.4,53.1,28.6,48.6,43.5,56.1,39.1,47.5,53.8,33.7,63.5,50.9,49.2,54.8,46.7,47.3,48.1,52.4,40.8,57.3,59.2,38.2,53.8,52.5,42.4,47.5,53.9,54.9,48.2,34.4,49.5,67.9,52.4,58,NA,66.2,55.9,41.3,45.9,58.6,54.9,42,52.4,59.6,47.8,24.6,26.3
p_of_girls_program,49,58.9,50.3,41.2,40.4,47.1,59.6,47.6,46.9,71.4,51.4,56.5,43.9,60.9,52.5,46.2,66.3,36.5,49.1,50.8,45.2,53.3,52.7,51.9,47.6,59.2,42.7,40.8,61.8,46.2,47.5,57.6,52.5,46.1,45.1,51.8,65.6,50.5,32.1,47.6,42,NA,33.8,44.1,58.7,54.1,41.4,45.1,58,47.6,40.4,52.2,75.4,73.7
p_of_children_programs_qualify_federal_asst,45,33.8,32.3,53.3,51.9,47,35.5,41.7,42.6,19.6,51.8,43.2,25.5,29.7,54,35.5,48.6,38.8,34.6,33.7,56.9,35.8,40.1,43.6,38.2,58.1,40.1,17.9,28.2,46.2,41.1,43.1,32.1,39.9,48,55.4,27.9,43.6,37.2,47.2,33.2,NA,36.6,34.6,19.8,51.5,51.6,47.8,14.1,30.9,29.1,45.4,28.8,52.3
avg_dolllars_spent_per_week_program,113.5,100.8,145.9,103.6,71.2,125.6,92.4,141.7,88.9,236.6,103.1,91.8,50.8,72.6,158.6,87.3,62.2,49.3,92.7,120.7,55.2,137.5,98.1,100.1,90.8,89.2,100.5,104.7,127.1,107.1,82.8,144.3,78.5,117.1,110,68.3,83.3,107.8,94.3,82.5,111.2,144.8,95.5,71.1,58.3,77.7,106.6,42.9,87.1,118.7,108.6,47,108.5,97
num_households_surveyed_2014,NA,203,207,261,200,854,225,213,200,200,543,349,200,200,407,251,208,200,219,200,200,252,276,360,253,200,266,211,200,200,200,320,200,520,210,326,203,364,200,215,435,127,200,209,200,250,467,202,205,284,293,200,256,202
num_children_screened_2014,NA,793,449,1117,664,4189,1023,685,352,342,2581,1991,382,553,1959,1666,760,606,871,605,438,1036,1054,2469,1158,488,1414,416,438,447,426,1636,352,2594,402,1874,400,2194,777,773,2557,549,348,795,406,995,2792,887,374,1494,1394,484,1345,409
err_margin_households_surveyed_2014,1,4.8,6.9,4,5.6,2.1,4.2,5.2,7.1,7.1,2.6,3.1,6.8,5.9,3,3.4,5,5.6,4.5,5.6,6.4,4.1,4,2.7,4,6.2,3.6,6.8,6.4,6.1,6.3,3.2,7.1,2.7,6.9,3.1,7,2.9,4.8,4.9,2.7,6,7.1,4.6,7,4.1,2.6,5,6.9,3.5,3.6,6,3.6,7
err_margin_children_screened_2014,< 1,3.6,4.7,3,3.9,1.5,3.1,3.8,5.3,5.4,2,2.2,5.1,4.3,2.3,2.4,3.6,4.1,3.4,4.1,4.8,3.1,3.1,2,2.9,4.5,2.7,4.9,4.8,4.7,4.8,2.5,5.3,2,5,2.3,5,2.1,3.6,3.6,2,4.3,5.4,3.5,5,3.2,1.9,3.4,5.2,2.6,2.7,4.5,2.7,4.9
p_of_children_alone_2014_6_to_8,19.0,11.6,32.1,8.3,18.1,9,24.7,13,15.7,21.1,10.1,11.4,16.7,23.1,19.6,19.5,30.3,32.8,10,11.1,30.8,24.5,28.1,17.2,46.8,20,37.4,23.7,20.3,11.7,6.1,14.1,18.8,16.4,NA,28.2,34.8,19,44.4,13.6,16.2,NA,7.9,16.2,30.7,19,16.5,20.5,21.9,18.1,20.3,28.6,19.9,23.6
p_of_children_alone_2014_9_to_12,37.0,31.7,46.2,37,35.6,44.3,32.5,34.8,52.6,29.1,28.1,38.8,40.3,39,27.8,57.9,44.9,27.2,35.5,44.9,45.8,34.7,50.8,49.5,30.3,25.8,48.2,47.2,40.2,30,30,32.5,42.4,41.1,NA,35.1,40.1,31,51.5,24.7,47.7,NA,31.3,35.4,44.9,39.1,28.7,29.8,53.1,22.8,49.6,43.3,29.7,38.1
p_of_children_alone_2014_k_to_5,3,1.6,4.9,2.9,3.1,2.5,1.3,NA,NA,3.2,2.8,2.8,NA,3.3,1.6,4.8,3.2,1.7,NA,8.6,1.7,5.6,1.9,NA,5.8,2.6,3.3,6.2,4.7,0.6,NA,5.8,5,3.9,NA,2.9,2.8,6,2.8,7.2,0.9,NA,2.8,2.2,5.5,3.3,4.7,3.1,2.8,2.6,1.4,3.5,1.9,1
p_of_children_in_programs_2014_6_to_8,19.0,11.6,22.9,16.6,14.1,29.1,13.4,20.5,16.2,45.3,20.7,14.4,15.5,10.6,21.1,8.2,13,12.9,15.5,15,15,9,17.6,14.7,16.4,14.3,12.3,8.5,13.3,30.3,15.8,17.3,15.2,24.5,NA,12.8,12.3,17.4,5.7,12.9,18.1,NA,25.7,7.7,10.1,17.1,18.2,11.9,28.4,13,12.7,19.8,13.9,15.2
p_of_children_in_programs_2014_9_to_12,12.0,8.1,18.8,10.6,10.8,14.6,11,10,14.7,21.2,15,11.1,10.1,2.8,12.3,3.6,6.6,10.1,13.5,9.2,9.5,8,7.6,7.9,7.3,14.8,10.1,12.5,9.7,12.1,9.6,6.9,7.1,16.8,NA,8.8,10.7,9.3,7.8,11.6,12,NA,19,12.9,8.2,10.9,11.8,5.8,11.2,7.6,10.9,12.7,6.8,8.8
p_of_children_in_programs_2014_k_to_5,23,18.1,20.3,21.4,14,31.1,19.6,20.3,22.0,41,28.2,21.5,39.8,10.8,22.8,17,19.1,17.7,17.2,18.7,23.9,25.2,27.1,16.5,21.5,18.1,19.1,15.3,26.4,28.8,23.6,23.5,29.5,24.6,NA,20,29.7,18.1,14.5,21.1,20,NA,22.9,17.3,20.7,23,22.1,12.1,31.6,20.1,22.5,23.9,18,19
p_of_children_would_be_enrolled_2014_6_to_8,40.0,40.1,47.7,37.2,45.2,40.4,53,47.6,38.7,71.7,46.9,40.2,39.2,37,36.2,42.6,35.5,25.8,37.6,43.2,38.4,46.8,44.7,59.8,19,43.2,47.6,37.8,38.9,33.3,39.3,33.8,21.4,40.4,NA,23.6,33.5,57.9,31.9,55.9,57.9,NA,25.3,55.3,28.7,42.4,19.4,57.5,34,27.7,36.9,48.8,53.4,55.3
p_of_children_would_be_enrolled_2014_9_to_12,37.0,36.3,35.6,37,39.5,47.2,21.6,33.9,18.2,53.2,38.9,24.6,17,22.6,31.4,18.2,15.8,35.4,31.7,12.2,32.6,26.3,35.1,35.5,8.7,52.1,15.7,27.5,25.6,35.6,24,34.3,29.3,42.1,NA,16.5,15.4,40.9,26.8,39.4,38.5,NA,26.9,50.1,22.8,18,29.2,35.7,23.3,26.1,27.7,27.6,22.4,28.3
p_of_children_would_be_enrolled_2014_k_to_5,47.0,43.8,43.7,32,48.6,52.3,32.6,46.6,51.7,75.7,49.7,51.1,49.1,54.2,47.3,35.9,47.7,30.4,57.2,55.4,53.5,38,47.9,42.8,30.1,52.1,34.3,42.8,30.1,45.6,43.1,38.3,40.1,55.6,NA,59.6,43.8,56.4,48.6,37.3,53.6,NA,33.5,49.7,38.6,35.1,51.6,48.8,38.2,42.9,40,58.1,32.9,49.8
is_top_ten,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
p_of_parents_working_parents_peace,75.3,76.9,78,71.5,73.7,80.2,71.1,69.7,71.2,83.4,74.3,78.5,68,70.2,78.7,75.8,70.2,65,76.1,75.1,73.9,64.4,79.8,73.8,76.8,69.6,73.3,77.4,61,64.6,81.7,78.4,75,73.6,74.3,80.1,76.8,77.5,72.7,64.6,71.4,79.6,71.1,76.9,77.9,82.6,73.7,80.7,80.7,77.8,74.6,68.6,75.2,74.4
p_of_parents_working_parents_keep_jobs,74.4,79.5,75.1,73.1,79.1,81.7,72.4,74.1,75.2,82.3,83.6,78.1,71.7,62.3,73.4,72.4,69.8,59.6,73.4,80.1,75.6,69.2,80.9,65.9,70.6,67.9,69.7,75,64.3,60.6,83.8,72.6,74.7,74.1,72.4,79.9,76.6,75.4,75.3,64.3,74.2,73.2,68.5,72.6,77.5,78.3,68.5,71.2,79.2,77.4,69.3,71.4,69.8,69.2
real_of_children_in_programs_2014,10.2 million,"104,968","25,631","178,554","65,107","1,661,374","129,579","99,710","26,240","26,619","627,430","282,453","54,184","23,361","404,791","123,163","68,516","70,407","104,693","115,540","33,387","150,112","196,562","210,386","136,041","82,754","137,964","18,814","57,201","106,228","35,302","231,279","70,841","632,076","344,072","234,908","19,865","284,519","68,751","91,595","321,296","52,646","34,704","98,111","19,165","179,897","880,636","57,686","21,690","190,444","183,099","52,325","121,469","14,026"
real_of_children_would_be_enrolled_2014,19.4 million,"274,742","45,365","318,223","190,563","2,435,254","256,263","213,766","48,140","32,436","1,031,509","590,278","59,057","111,583","741,400","308,914","145,383","132,731","265,184","256,040","68,777","280,319","362,312","625,026","149,516","217,663","263,077","49,273","81,887","135,210","60,756","422,067","90,659","1,151,361","592,786","523,140","26,857","846,248","230,198","221,708","811,954","94,764","37,471","330,964","36,409","263,754","1,516,900","257,482","22,163","390,792","333,927","108,253","265,984","34,827"
real_of_children_alone_2014,11.3 million,"148,052","31,445","214,043","65,107","1,247,699","146,856","109,150","28,292","19,718","541,481","317,324","36,474","54,797","433,390","220,573","114,865","91,728","126,622","147,333","38,129","192,737","213,966","373,476","219,277","88,960","248,530","33,479","71,983","98,091","46,037","267,945","71,532","584,597","208,901","295,984","23,341","431,489","130,367","131,779","346,458","33,844","27,062","133,788","36,320","170,645","935,057","99,148","21,690","236,414","217,293","54,551","205,209","19,855"
