slug,templated,original,min,max,statePriority,priority,data.type,category,card.container,card.chart,cardTitle,is.on.demographics,is.on.city.county,question.chart,cardViewMoreInfo,questionViewMoreInfo,popoverText,questionViewTitle,HEPASpecialReport.chart,HEPASpecialReport.container,STEMNewsRelease.chart,STEMNewsRelease.container,meta.original
p_of_parents_programs_offers_physical,<%= value %>% of parents say their children’s afterschool program offers opportunities for physical activity,% of parents whose child’s afterschool program offers opportunities for physical activity,63,98,4,4,percent,health,physical_activity,p_of_parents_programs_offers_physical,Parents whose child’s afterschool program offers opportunities for physical activity ,yes,yes,p_of_parents_programs_offers_physical,,,,Parents whose child’s afterschool program offers opportunities for physical activity ,p_of_parents_programs_offers_physical,healthy_eating,none,,
p_of_parents_satisfied_programs_physical_amount,<%= value %>% of parents are satisfied with the amount of physical activity offered in their child's afterschool program,% of parents satisfied with the amount of physical activity offered in their child's afterschool program,55,96,8,8,percent,health,physical_activity,health_activity_double,Parents satisfied with the physical activity in their child’s afterschool program ,yes,yes,health_activity_double,"Examples of the variety of physical activities provided in the survey questionnaire were “indoor, outdoor, games and skill-building activities.”","Examples of the variety of physical activities provided in the survey questionnaire were “indoor, outdoor, games and skill-building activities.”",,Parents satisfied with the physical activity in their child’s afterschool program ,p_of_parents_satisfied_programs_physical_amount,physical_activity,none,,
p_of_parents_satisfied_programs_physical_variety,<%= value %>% of parents are satisfied with the variety of physical activity offered in their child’s afterschool program,% of parents satisfied with the variety of physical activity offered in their child's afterschool program,53,94,16,16,percent,health,physical_activity,none,Parents satisfied with the variety of physical activity offered in their child's afterschool program,yes,yes,none,"Examples of the variety of physical activities provided in the survey questionnaire were “indoor, outdoor, games and skill-building activities.”","Examples of the variety of physical activities provided in the survey questionnaire were “indoor, outdoor, games and skill-building activities.”",,Parents satisfied with the variety of physical activity offered in their child's afterschool program,p_of_parents_satisfied_programs_physical_variety,physical_activity,none,,
p_of_parents_physical_important,<%= value %>% of parents say that opportunities for physical activity was very important in choosing their child’s afterschool program,% of parents say that opportunities for physical activity was very important in choosing their child’s afterschool program,43,85,24,24,percent,health,physical_activity,p_of_parents_physical_important,Parents say that opportunities for physical activity was very important in choosing their child’s afterschool program,yes,yes,none,,,,Parents say that opportunities for physical activity was very important in choosing their child’s afterschool program,none,physical_activity,none,,
p_family_child_summer_2013,<%= value %>% of families report at least one child is in a summer learning program,% of families report at least one child is in a summer learning program,16,61,1,1,percent,summer,summer_general,p_family_child_summer_2013,Families report at least one child is in a summer learning program,yes,yes,p_family_child_summer_2013,,,,Families report that at least one child participates in a summer learning program,none,none,none,,
p_family_child_summer_2008,<%= value %>% of families report at least one child is in a summer learning program - 2008,% of families report at least one child is in a summer learning program - 2009,15,39,2,2,percent,summer,summer_general,none,Families report at least one child is in a summer learning program - 2008,yes,yes,none,,,,Families report at least one child is in a summer learning program - 2008,none,none,none,,
p_family_want_summer,<%= value %>% of families say they want their children enrolled in a summer learning program,% of families say they want their children enrolled in a summer learning program,33,73,4,4,percent,summer,summer_general,p_family_want_summer,Families say they want their children enrolled in a summer learning program,yes,yes,p_family_want_summer,,,,Families say they want their children enrolled in a summer learning program,none,none,none,,
p_of_parents_agree_summer_academic,<%= value %>% of parents agree that summer activities that help children maintain academic skills and learn new things are important,% of parents agree that summer activities that help children maintain academic skills and learn new things are important,58,86,8,8,percent,summer,summer_general,p_of_parents_agree_summer_academic,Parents agree that summer activities are important,yes,yes,p_of_parents_agree_summer_academic,of parents agree that summer activities that help their children maintain academic skills and learn new things are important.,,,Parents agree that summer activities that help children maintain academic skills and learn new things are important,none,none,none,,
avg_hr_per_day_summer,Children spend an average of <%= value %> hours per day in a summer learning program,Average hours per day children spend in summer learning program,3.45,6.37,16,16,hours,summer,summer_general,avg_hr_per_day_summer,Average time children spend in a summer learning program,yes,yes,avg_hr_per_day_summer,,,,Average time children spend per day in a summer learning program,none,none,none,,
avg_weeks_per_summer,Children spend an average of <%= value %> weeks in a summer learning program,Average weeks children spend in summer learning program on average,4.05,6.43,32,32,weeks,summer,summer_general,avg_weeks_per_summer,Average number of weeks children spend in a summer learning program,yes,yes,avg_weeks_per_summer,,,,Average number of weeks children spend in a summer learning program,none,none,none,,
avg_dollars_per_week_summer,$<%= value %> spent per week on average by parents for summer learning programs,$ spent per week on average by parents for summer learning programs,114.9,638.7,64,64,dollars,summer,summer_general,avg_dollars_per_week_summer,Average amount parents spend per week on summer learning programs,yes,yes,avg_dollars_per_week_summer,The average weekly cost only includes parents who report that they pay a fee for their child’s summer learning program.,The average weekly cost only includes parents who report that they pay a fee for their child’s summer learning program.,,Average amount parents spend per week on summer learning programs,none,none,none,,
p_of_parents_support_public_funding_summer,<%= value %>% of parents support public funding for summer learning programs,% of parents support public funding for summer learning programs,75,95,128,128,percent,summer,summer_general,p_of_parents_support_public_funding_summer,Parents support public funding for summer learning programs,yes,yes,p_of_parents_support_public_funding_summer,,,,Parents support public funding for summer learning programs,none,none,none,,
p_of_parents_support_public_funding_summer_2009,<%= value %>% of parents support public funding for summer learning programs in 2009,% of parents support public funding for summer learning programs in 2009,70,88,256,256,percent,summer,summer_general,p_of_parents_support_public_funding_summer_2009,Parents support public funding for summer learning programs in 2009,no,yes,p_of_parents_support_public_funding_summer_2009,,,,Parents support public funding for summer learning programs in 2009,none,none,none,,
p_of_parents_report_stem_learning_opp,<%= value %>% of parents report that their child’s afterschool program offers STEM learning opportunities,% of parents report that their child’s afterschool program offers STEM learning opportunities,32,90,1,1,percent,stem,stem_a,p_of_parents_report_stem_learning_opp,Parents report that their child’s afterschool program offers STEM learning opportunities,yes,yes,p_of_parents_report_stem_learning_opp,,,,Parents report that their child’s afterschool program offers STEM learning opportunities ,,,p_of_parents_report_stem_learning_opp,stem_a,
p_of_parents_satisfied_stem_program,<%= value %>% of parents are satisfied with their child’s afterschool STEM programming,% of parents are satisfied with their child’s afterschool STEM programming,35,89,2,2,percent,stem,stem_a,p_of_parents_satisfied_stem_program,Parents satisfied with the STEM learning opportunities offered in their child’s afterschool program ,yes,yes,p_of_parents_satisfied_stem_program,,,,Parents satisfied with the STEM learning opportunities offered in their child’s afterschool program,,,p_of_parents_satisfied_stem_program,stem_b,
p_of_parents_consider_stem_as_factor,<%= value %>% of parents consider STEM as a factor when choosing their child’s afterschool program,% of parents consider STEM as a factor when choosing their child’s afterschool program,20,69,4,4,percent,stem,stem_a,p_of_parents_consider_stem_as_factor,Parents consider STEM as a factor when selecting their child’s afterschool program,yes,yes,p_of_parents_consider_stem_as_factor,,,,Parents who consider STEM as a factor when selecting their child’s afterschool program ,,,p_of_parents_consider_stem_as_factor,stem_a,
p_of_parents_agree_children_gain_stem,<%= value %>% of parents agree that children can gain STEM skills from afterschool programs,% of parents agree that children can gain STEM skills from afterschool programs,51,74,8,8,percent,stem,stem_a,p_of_parents_agree_children_gain_stem,Parents agree that children can gain STEM skills from afterschool programs,yes,yes,p_of_parents_agree_children_gain_stem,,,,Parents who agree that children can gain STEM skills from afterschool programs,,,p_of_parents_agree_children_gain_stem,stem_b,
p_of_parents_agree_should_provide_stem,<%= value %>% of parents agree afterschool programs should provide hands-on STEM learning opportunities,% of parents agree afterschool programs should provide hands-on STEM learning opportunities,58,86,16,16,percent,stem,stem_a,p_of_parents_agree_should_provide_stem,Parents agree that afterschool programs should offer STEM,yes,yes,p_of_parents_agree_should_provide_stem,of parents agree that afterschool programs should provide opportunities to explore and engage in hands-on STEM learning.,,,Parents who agree afterschool programs should provide opportunities to explore and engage in hands-on STEM learning,,,p_of_parents_agree_should_provide_stem,stem_b,
