"slug","state","answer"
"avg_dolllars_spent_per_week_program","GA","91.8"
"num_households_surveyed_2014","GA","349"
"num_children_screened_2014","GA","1991"
"err_margin_households_surveyed_2014","GA","3.1"
"err_margin_children_screened_2014","GA","2.2"
"p_of_children_alone_2014_6_to_8","GA","11.4"
"p_of_children_alone_2014_9_to_12","GA","38.8"
"p_of_children_alone_2014_k_to_5","GA","2.8"
"p_of_children_in_programs_2014_6_to_8","GA","14.4"
"p_of_children_in_programs_2014_9_to_12","GA","11.1"
"p_of_children_in_programs_2014_k_to_5","GA","21.5"
"p_of_children_would_be_enrolled_2014_6_to_8","GA","40.2"
"p_of_children_would_be_enrolled_2014_9_to_12","GA","24.6"
"p_of_children_would_be_enrolled_2014_k_to_5","GA","51.1"
"is_top_ten","GA","FALSE"
"p_of_parents_working_parents_peace","GA","78.5"
"p_of_parents_working_parents_keep_jobs","GA","78.1"
"real_of_children_in_programs_2014","GA","282,453"
"real_of_children_would_be_enrolled_2014","GA","590,278"
"real_of_children_alone_2014","GA","317,324"
"intro_text","GA","For the first time, Georgia’s afterschool program participation rate falls below the national average, dropping back down to its 2004 level of 16 percent.  Additionally, despite strong parent satisfaction with their child’s afterschool program and parent support for public funding for afterschool programs, unmet demand for afterschool programs in Georgia continues to climb.  The percentage of children not in an afterschool program who would be enrolled in a program if one were available increased from 26 percent in 2004 to 32 percent in 2009 to 40 percent in 2014.   "
"p_of_parents_agree_should_provide_snacks","GA","76"
"p_of_parents_programs_offers_snacks","GA","79"
"p_of_parents_satisfied_programs_snacks","GA","75"
"p_of_parents_satisfied_healthy_snacks","GA","75"
"p_of_parents_snacks_important","GA","58"
"p_of_parents_healthy_snacks_important","GA","55"
"p_of_parents_agree_should_provide_physical","GA","82"
"p_of_parents_programs_offers_physical","GA","80"
"p_of_parents_satisfied_programs_physical_amount","GA","79"
"p_of_parents_satisfied_programs_physical_variety","GA","81"
"p_of_parents_physical_important","GA","68"
"p_family_child_summer_2013","GA","25"
"p_family_child_summer_2008","GA","21"
"p_family_want_summer","GA","42"
"p_of_parents_agree_summer_academic","GA","75"
"avg_hr_per_day_summer","GA","5.26"
"avg_weeks_per_summer","GA","4.5"
"avg_dollars_per_week_summer","GA","302.4"
"p_of_parents_support_public_funding_summer","GA","89"
"p_of_parents_support_public_funding_summer_2009","GA","86"
"p_of_parents_report_stem_learning_opp","GA","65"
"p_of_parents_satisfied_stem_program","GA","65"
"p_of_parents_consider_stem_as_factor","GA","51"
"p_of_parents_agree_children_gain_stem","GA","63"
"p_of_parents_agree_should_provide_stem","GA","71"
"p_of_children_in_programs_2014","HI","25.7"
"p_of_children_in_programs_2009","HI","28"
"p_of_children_in_programs_2004","HI","35"
"avg_hr_per_week_in_programs","HI","7.63"
"avg_day_per_week_in_programs","HI","4.4"
"p_of_children_would_be_enrolled_2014","HI","37.7"
"p_of_children_would_be_enrolled_2009","HI","39"
"p_of_children_would_be_enrolled_2004","HI","20"
"p_of_children_alone_2014","HI","17.3"
"p_of_children_alone_2009","HI","33"
"p_of_children_alone_2004","HI","15"
"avg_hr_per_week_alone","HI","9.2"
"reason_1_not_enrolling_child","HI","Preference for alternative activities"
"reason_2_not_enrolling_child","HI","The afterschool programs are too expensive"
"reason_3_not_enrolling_child","HI",""
"ans_1_type_activity","HI","Opportunities for physical activity"
"p_for_ans_1_type_activity","HI","93.9"
"ans_2_type_activity","HI","Homework assistance"
"p_for_ans_2_type_activity","HI","87"
"ans_3_type_activity","HI",""
"p_for_ans_3_type_activity","HI","64.2"
"ans_4_type_activity","HI","Before-school programs"
"p_for_ans_4_type_activity","HI","62.5"
"ans_5_type_activity","HI","Opportunities for reading or writing"
"p_for_ans_5_type_activity","HI","50.6"
"p_of_parents_programs_excite_abt_learning","HI","61.6"
"p_of_parents_programs_help_child_gain_skills","HI","64.3"
"p_of_parents_programs_reduce_risky","HI","74.8"
"p_of_parents_support_public_funding_2014","HI","93.4"
"p_of_parents_support_public_funding_2009","HI","83"
"p_of_parents_receive_public_funding","HI","15.6"
"p_of_parents_satisfied_child_program_2014","HI","89"
"p_of_parents_satisfied_child_program_2009","HI","93"
"p_of_parents_satisfied_child_program_2004","HI","100"
"p_of_parents_satisfied_program_safe","HI","85.9"
"p_of_parents_satisfied_program_quality_of_care","HI","78.7"
"ans_1_select_program","HI","The hours meet my needs"
"p_for_ans_1_select_program","HI","88.8"
"ans_2_select_program","HI","Location is convenient"
"p_for_ans_2_select_program","HI","86.6"
"ans_3_select_program","HI","Quality of care"
"p_for_ans_3_select_program","HI","85.5"
"ans_4_select_program","HI","Is a safe haven"
"p_for_ans_4_select_program","HI","84.5"
"ans_5_select_program","HI","Their child enjoys the afterschool program"
"p_for_ans_5_select_program","HI","83"
"p_of_parents_program_public_school_bldg","HI","75.5"
"ans_1_program_provider","HI","Afterschool program run by a public school"
"ans_2_program_provider","HI","YMCA afterschool program"
"ans_3_program_provider","HI","Afterschool program run by private school"
"ans_4_program_provider","HI",""
"p_of_boys_program","HI","56.1"
"p_of_girls_program","HI","43.9"
"p_of_children_programs_qualify_federal_asst","HI","25.5"
"avg_dolllars_spent_per_week_program","HI","50.8"
"num_households_surveyed_2014","HI","200"
"num_children_screened_2014","HI","382"
"err_margin_households_surveyed_2014","HI","6.8"
"err_margin_children_screened_2014","HI","5.1"
"p_of_children_alone_2014_6_to_8","HI","16.7"
"p_of_children_alone_2014_9_to_12","HI","40.3"
"p_of_children_alone_2014_k_to_5","HI",NA
"p_of_children_in_programs_2014_6_to_8","HI","15.5"
"p_of_children_in_programs_2014_9_to_12","HI","10.1"
"p_of_children_in_programs_2014_k_to_5","HI","39.8"
"p_of_children_would_be_enrolled_2014_6_to_8","HI","39.2"
"p_of_children_would_be_enrolled_2014_9_to_12","HI","17"
"p_of_children_would_be_enrolled_2014_k_to_5","HI","49.1"
"is_top_ten","HI","TRUE"
"p_of_parents_working_parents_peace","HI","68"
"p_of_parents_working_parents_keep_jobs","HI","71.7"
"real_of_children_in_programs_2014","HI","54,184"
"real_of_children_would_be_enrolled_2014","HI","59,057"
"real_of_children_alone_2014","HI","36,474"
"intro_text","HI","Hawaii rounds out the top 10 states for afterschool.  Similar to 2009, a strong afterschool participation rate—26 percent—is a primary contributing factor to its top 10 status.  While more than 9 in 10 parents support public funding for afterschool programs and Hawaii continues to be among the states with the highest afterschool participation rates, the percentage of children in an afterschool program has continued to decrease, dropping from 35 percent in 2004 to 28 percent in 2009 to 26 percent in 2014.  Similarly, the average amount of time Hawaii’s children spend per week in afterschool programs decreased in 2014 compared to 2004 and 2009, dropping from approximately 9 hours to 7.63 hours. "
"p_of_parents_agree_should_provide_snacks","HI","56"
"p_of_parents_programs_offers_snacks","HI","57"
"p_of_parents_satisfied_programs_snacks","HI","60"
"p_of_parents_satisfied_healthy_snacks","HI","61"
"p_of_parents_snacks_important","HI","32"
"p_of_parents_healthy_snacks_important","HI","34"
"p_of_parents_agree_should_provide_physical","HI","83"
"p_of_parents_programs_offers_physical","HI","94"
"p_of_parents_satisfied_programs_physical_amount","HI","81"
"p_of_parents_satisfied_programs_physical_variety","HI","75"
"p_of_parents_physical_important","HI","60"
"p_family_child_summer_2013","HI","29"
"p_family_child_summer_2008","HI","39"
"p_family_want_summer","HI","60"
"p_of_parents_agree_summer_academic","HI","69"
"avg_hr_per_day_summer","HI","5.08"
"avg_weeks_per_summer","HI","5.76"
"avg_dollars_per_week_summer","HI","473.3"
"p_of_parents_support_public_funding_summer","HI","95"
"p_of_parents_support_public_funding_summer_2009","HI","82"
"p_of_parents_report_stem_learning_opp","HI","40"
"p_of_parents_satisfied_stem_program","HI","39"
"p_of_parents_consider_stem_as_factor","HI","39"
"p_of_parents_agree_children_gain_stem","HI","59"
"p_of_parents_agree_should_provide_stem","HI","63"
"p_of_children_in_programs_2014","ID","8.1"
"p_of_children_in_programs_2009","ID","9"
"p_of_children_in_programs_2004","ID","9"
"avg_hr_per_week_in_programs","ID","7.6"
"avg_day_per_week_in_programs","ID","3.45"
"p_of_children_would_be_enrolled_2014","ID","42.1"
"p_of_children_would_be_enrolled_2009","ID","31"
"p_of_children_would_be_enrolled_2004","ID","32"
"p_of_children_alone_2014","ID","19"
"p_of_children_alone_2009","ID","29"
"p_of_children_alone_2004","ID","23"
"avg_hr_per_week_alone","ID","7.04"
"reason_1_not_enrolling_child","ID","Preference for alternative activities"
"reason_2_not_enrolling_child","ID","The afterschool programs are too expensive"
"reason_3_not_enrolling_child","ID",""
"ans_1_type_activity","ID","Homework assistance"
"p_for_ans_1_type_activity","ID","83.6"
"ans_2_type_activity","ID","STEM"
"p_for_ans_2_type_activity","ID","80"
"ans_3_type_activity","ID","Opportunities for reading or writing"
"p_for_ans_3_type_activity","ID","79.3"
"ans_4_type_activity","ID","Opportunities for physical activity"
"p_for_ans_4_type_activity","ID","76.5"
"ans_5_type_activity","ID","Beverages, snacks and/or meals"
"p_for_ans_5_type_activity","ID","67"
"p_of_parents_programs_excite_abt_learning","ID","54"
"p_of_parents_programs_help_child_gain_skills","ID","59.8"
"p_of_parents_programs_reduce_risky","ID","69"
"p_of_parents_support_public_funding_2014","ID","82.7"
"p_of_parents_support_public_funding_2009","ID","78"
"p_of_parents_receive_public_funding","ID","8.3"
"p_of_parents_satisfied_child_program_2014","ID","89.7"
"p_of_parents_satisfied_child_program_2009","ID","69"
"p_of_parents_satisfied_child_program_2004","ID","93"
"p_of_parents_satisfied_program_safe","ID","86.5"
"p_of_parents_satisfied_program_quality_of_care","ID","81.5"
"ans_1_select_program","ID","Homework assistance offered"
"p_for_ans_1_select_program","ID","81.2"
"ans_2_select_program","ID","Opportunities for reading or writing offered"
"p_for_ans_2_select_program","ID","77.3"
"ans_3_select_program","ID","Is a safe haven"
"p_for_ans_3_select_program","ID","76.9"
"ans_4_select_program","ID","Program cost"
"p_for_ans_4_select_program","ID","70"
"ans_5_select_program","ID","The hours meet parents' needs"
"p_for_ans_5_select_program","ID","68"
"p_of_parents_program_public_school_bldg","ID","76.1"
"ans_1_program_provider","ID","Afterschool program run by a public school"
"ans_2_program_provider","ID","Other"
"ans_3_program_provider","ID","Boys & Girls Club afterschool program"
"ans_4_program_provider","ID","4-H afterschool program"
"p_of_boys_program","ID","39.1"
"p_of_girls_program","ID","60.9"
"p_of_children_programs_qualify_federal_asst","ID","29.7"
"avg_dolllars_spent_per_week_program","ID","72.6"
"num_households_surveyed_2014","ID","200"
"num_children_screened_2014","ID","553"
"err_margin_households_surveyed_2014","ID","5.9"
"err_margin_children_screened_2014","ID","4.3"
"p_of_children_alone_2014_6_to_8","ID","23.1"
"p_of_children_alone_2014_9_to_12","ID","39"
"p_of_children_alone_2014_k_to_5","ID","3.3"
"p_of_children_in_programs_2014_6_to_8","ID","10.6"
"p_of_children_in_programs_2014_9_to_12","ID","2.8"
"p_of_children_in_programs_2014_k_to_5","ID","10.8"
"p_of_children_would_be_enrolled_2014_6_to_8","ID","37"
"p_of_children_would_be_enrolled_2014_9_to_12","ID","22.6"
"p_of_children_would_be_enrolled_2014_k_to_5","ID","54.2"
"is_top_ten","ID","FALSE"
"p_of_parents_working_parents_peace","ID","70.2"
"p_of_parents_working_parents_keep_jobs","ID","62.3"
"real_of_children_in_programs_2014","ID","23,361"
"real_of_children_would_be_enrolled_2014","ID","111,583"
"real_of_children_alone_2014","ID","54,797"
"intro_text","ID","The percentage of Idaho children participating in an afterschool program has hovered around 9 percent over the past decade, while the national average afterschool program participation rate has continued to climb.  While Idaho has slipped further behind other states in 2014, moving from 9 percent down to 8 percent program participation, the national average grew from 11 percent in 2004 to 18 percent in 2014. However, of Idaho parents who are able to take advantage of afterschool programs, an overwhelming majority—9 in 10—are satisfied with them overall. "
"p_of_parents_agree_should_provide_snacks","ID","63"
"p_of_parents_programs_offers_snacks","ID","67"
"p_of_parents_satisfied_programs_snacks","ID","64"
"p_of_parents_satisfied_healthy_snacks","ID","64"
"p_of_parents_snacks_important","ID","45"
"p_of_parents_healthy_snacks_important","ID","46"
"p_of_parents_agree_should_provide_physical","ID","78"
"p_of_parents_programs_offers_physical","ID","77"
"p_of_parents_satisfied_programs_physical_amount","ID","68"
"p_of_parents_satisfied_programs_physical_variety","ID","64"
"p_of_parents_physical_important","ID","54"
"p_family_child_summer_2013","ID","16"
"p_family_child_summer_2008","ID","17"
"p_family_want_summer","ID","35"
"p_of_parents_agree_summer_academic","ID","65"
"avg_hr_per_day_summer","ID","5.19"
"avg_weeks_per_summer","ID","5.37"
"avg_dollars_per_week_summer","ID","114.9"
"p_of_parents_support_public_funding_summer","ID","82"
"p_of_parents_support_public_funding_summer_2009","ID","78"
"p_of_parents_report_stem_learning_opp","ID","80"
"p_of_parents_satisfied_stem_program","ID","59"
"p_of_parents_consider_stem_as_factor","ID","33"
"p_of_parents_agree_children_gain_stem","ID","64"
"p_of_parents_agree_should_provide_stem","ID","71"
"p_of_children_in_programs_2014","IL","18.4"
"p_of_children_in_programs_2009","IL","16"
"p_of_children_in_programs_2004","IL","10"
"avg_hr_per_week_in_programs","IL","6.73"
"avg_day_per_week_in_programs","IL","3.36"
"p_of_children_would_be_enrolled_2014","IL","41.3"
"p_of_children_would_be_enrolled_2009","IL","44"
"p_of_children_would_be_enrolled_2004","IL","28"
"p_of_children_alone_2014","IL","19.7"
"p_of_children_alone_2009","IL","28"
"p_of_children_alone_2004","IL","26"
"avg_hr_per_week_alone","IL","6.83"
"reason_1_not_enrolling_child","IL","Preference for alternative activities"
"reason_2_not_enrolling_child","IL","Lack of child's enjoyment of programs"
"reason_3_not_enrolling_child","IL",""
"ans_1_type_activity","IL","Opportunities for reading or writing"
"p_for_ans_1_type_activity","IL","75.2"
"ans_2_type_activity","IL","Beverages, snacks and/or meals"
"p_for_ans_2_type_activity","IL","75"
"ans_3_type_activity","IL","Homework assistance"
"p_for_ans_3_type_activity","IL","73.7"
"ans_4_type_activity","IL","STEM learning opportunities"
"p_for_ans_4_type_activity","IL","64.5"
"ans_5_type_activity","IL","Academic programs/clubs"
"p_for_ans_5_type_activity","IL","63.4"
"p_of_parents_programs_excite_abt_learning","IL","74.2"
"p_of_parents_programs_help_child_gain_skills","IL","69.8"
"p_of_parents_programs_reduce_risky","IL","72.1"
"p_of_parents_support_public_funding_2014","IL","83.9"
"p_of_parents_support_public_funding_2009","IL","83"
"p_of_parents_receive_public_funding","IL","36.4"
"p_of_parents_satisfied_child_program_2014","IL","80.1"
"p_of_parents_satisfied_child_program_2009","IL","74"
"p_of_parents_satisfied_child_program_2004","IL","93"
"p_of_parents_satisfied_program_safe","IL","82"
"p_of_parents_satisfied_program_quality_of_care","IL","75.2"
"ans_1_select_program","IL","The hours meet my needs"
"p_for_ans_1_select_program","IL","86.3"
"ans_2_select_program","IL","Knowledgeable and well-trained staff"
"p_for_ans_2_select_program","IL","74.2"
"ans_3_select_program","IL","Variety of activities"
"p_for_ans_3_select_program","IL","69.9"
"ans_4_select_program","IL","Homework assistance offered"
"p_for_ans_4_select_program","IL","68.7"
"ans_5_select_program","IL","Quality of care"
"p_for_ans_5_select_program","IL","65.5"
"p_of_parents_program_public_school_bldg","IL","79.1"
"ans_1_program_provider","IL","Afterschool program run by a public school"
"ans_2_program_provider","IL","Afterschool program run by religious organization"
"ans_3_program_provider","IL","YMCA afterschool program"
"ans_4_program_provider","IL",""
"p_of_boys_program","IL","47.5"
"p_of_girls_program","IL","52.5"
"p_of_children_programs_qualify_federal_asst","IL","54"
"avg_dolllars_spent_per_week_program","IL","158.6"
"num_households_surveyed_2014","IL","407"
"num_children_screened_2014","IL","1959"
"err_margin_households_surveyed_2014","IL","3"
"err_margin_children_screened_2014","IL","2.3"
"p_of_children_alone_2014_6_to_8","IL","19.6"
"p_of_children_alone_2014_9_to_12","IL","27.8"
"p_of_children_alone_2014_k_to_5","IL","1.6"
"p_of_children_in_programs_2014_6_to_8","IL","21.1"
"p_of_children_in_programs_2014_9_to_12","IL","12.3"
"p_of_children_in_programs_2014_k_to_5","IL","22.8"
"p_of_children_would_be_enrolled_2014_6_to_8","IL","36.2"
"p_of_children_would_be_enrolled_2014_9_to_12","IL","31.4"
"p_of_children_would_be_enrolled_2014_k_to_5","IL","47.3"
"is_top_ten","IL","FALSE"
"p_of_parents_working_parents_peace","IL","78.7"
"p_of_parents_working_parents_keep_jobs","IL","73.4"
"real_of_children_in_programs_2014","IL","404,791"
"real_of_children_would_be_enrolled_2014","IL","741,400"
"real_of_children_alone_2014","IL","433,390"
"intro_text","IL","The percentage of Illinois children participating in an afterschool program has steadily increased over the past decade, climbing from 10 percent in 2004 to 16 percent in 2009 to 18 percent in 2014.  Illinois afterschool programs are also reaching more high-needs children, with the percentage of children participating in an afterschool program who qualify for the Federal Free or Reduced Price Lunch Program growing from 40 percent to 54 percent in 2014, nine percentage points above the national average.  Parent satisfaction with their child’s afterschool program also saw improvements from previous years.  In 2014, 8 in 10 Illinois parents surveyed said that they are satisfied with their child’s afterschool program, an increase from 74 percent of parents in 2009."
"p_of_parents_agree_should_provide_snacks","IL","67"
"p_of_parents_programs_offers_snacks","IL","75"
"p_of_parents_satisfied_programs_snacks","IL","80"
"p_of_parents_satisfied_healthy_snacks","IL","69"
"p_of_parents_snacks_important","IL","44"
"p_of_parents_healthy_snacks_important","IL","58"
"p_of_parents_agree_should_provide_physical","IL","75"
"p_of_parents_programs_offers_physical","IL","63"
"p_of_parents_satisfied_programs_physical_amount","IL","84"
"p_of_parents_satisfied_programs_physical_variety","IL","69"
"p_of_parents_physical_important","IL","63"
"p_family_child_summer_2013","IL","37"
"p_family_child_summer_2008","IL","24"
"p_family_want_summer","IL","52"
"p_of_parents_agree_summer_academic","IL","74"
"avg_hr_per_day_summer","IL","4.43"
"avg_weeks_per_summer","IL","5.01"
"avg_dollars_per_week_summer","IL","188.4"
"p_of_parents_support_public_funding_summer","IL","87"
"p_of_parents_support_public_funding_summer_2009","IL","81"
"p_of_parents_report_stem_learning_opp","IL","65"
"p_of_parents_satisfied_stem_program","IL","73"
"p_of_parents_consider_stem_as_factor","IL","55"
"p_of_parents_agree_children_gain_stem","IL","72"
"p_of_parents_agree_should_provide_stem","IL","72"
"p_of_children_in_programs_2014","IN","11"
"p_of_children_in_programs_2009","IN","10"
"p_of_children_in_programs_2004","IN","10"
"avg_hr_per_week_in_programs","IN","7.2"
"avg_day_per_week_in_programs","IN","3.38"
"p_of_children_would_be_enrolled_2014","IN","31"
"p_of_children_would_be_enrolled_2009","IN","36"
"p_of_children_would_be_enrolled_2004","IN","26"
"p_of_children_alone_2014","IN","19.7"
"p_of_children_alone_2009","IN","30"
"p_of_children_alone_2004","IN","24"
"avg_hr_per_week_alone","IN","6.94"
"reason_1_not_enrolling_child","IN","Preference for alternative activities"
"reason_2_not_enrolling_child","IN","Lack of child's enjoyment of programs"
"reason_3_not_enrolling_child","IN",""
"ans_1_type_activity","IN","Opportunities for physical activity"
"p_for_ans_1_type_activity","IN","83.7"
"ans_2_type_activity","IN","Homework assistance"
"p_for_ans_2_type_activity","IN","78.4"
"ans_3_type_activity","IN","Opportunities for reading or writing"
"p_for_ans_3_type_activity","IN","77.5"
"ans_4_type_activity","IN","Beverages, snacks and/or meals"
"p_for_ans_4_type_activity","IN","74.9"
"ans_5_type_activity","IN","STEM learning opportunities"
"p_for_ans_5_type_activity","IN","65"
"p_of_parents_programs_excite_abt_learning","IN","56.9"
"p_of_parents_programs_help_child_gain_skills","IN","59.2"
"p_of_parents_programs_reduce_risky","IN","71.4"
"p_of_parents_support_public_funding_2014","IN","87"
"p_of_parents_support_public_funding_2009","IN","80"
"p_of_parents_receive_public_funding","IN","15.4"
"p_of_parents_satisfied_child_program_2014","IN","87.7"
"p_of_parents_satisfied_child_program_2009","IN","87"
"p_of_parents_satisfied_child_program_2004","IN","80"
"p_of_parents_satisfied_program_safe","IN","81.2"
"p_of_parents_satisfied_program_quality_of_care","IN","82.9"
"ans_1_select_program","IN","My child enjoys the program"
"p_for_ans_1_select_program","IN","89.9"
"ans_2_select_program","IN","Is a safe haven"
"p_for_ans_2_select_program","IN","85.2"
"ans_3_select_program","IN","Quality of care"
"p_for_ans_3_select_program","IN","81.8"
"ans_4_select_program","IN","Location is convenient"
"p_for_ans_4_select_program","IN","79.9"
"ans_5_select_program","IN","The hours meet parents' needs"
"p_for_ans_5_select_program","IN","79.7"
"p_of_parents_program_public_school_bldg","IN","67.5"
"ans_1_program_provider","IN","Afterschool program run by a public school"
"ans_2_program_provider","IN","YMCA afterschool program"
"ans_3_program_provider","IN","Boys & Girls Club afterschool program"
"ans_4_program_provider","IN",""
"p_of_boys_program","IN","53.8"
"p_of_girls_program","IN","46.2"
"p_of_children_programs_qualify_federal_asst","IN","35.5"
"avg_dolllars_spent_per_week_program","IN","87.3"
"num_households_surveyed_2014","IN","251"
"num_children_screened_2014","IN","1666"
"err_margin_households_surveyed_2014","IN","3.4"
"err_margin_children_screened_2014","IN","2.4"
"p_of_children_alone_2014_6_to_8","IN","19.5"
"p_of_children_alone_2014_9_to_12","IN","57.9"
"p_of_children_alone_2014_k_to_5","IN","4.8"
"p_of_children_in_programs_2014_6_to_8","IN","8.2"
"p_of_children_in_programs_2014_9_to_12","IN","3.6"
"p_of_children_in_programs_2014_k_to_5","IN","17"
"p_of_children_would_be_enrolled_2014_6_to_8","IN","42.6"
"p_of_children_would_be_enrolled_2014_9_to_12","IN","18.2"
"p_of_children_would_be_enrolled_2014_k_to_5","IN","35.9"
"is_top_ten","IN","FALSE"
"p_of_parents_working_parents_peace","IN","75.8"
"p_of_parents_working_parents_keep_jobs","IN","72.4"
"real_of_children_in_programs_2014","IN","123,163"
"real_of_children_would_be_enrolled_2014","IN","308,914"
"real_of_children_alone_2014","IN","220,573"
"intro_text","IN","The percentage of Indiana children participating in an afterschool program has hovered around 10 percent over the past decade, while the national afterschool program participation rate has continued to climb.  Close to the national average in 2004, Indiana has slipped further behind other states in 2014, moving from 10 percent to 11 percent in 2014, whereas the national average grew from 11 percent in 2004 to 18 percent in 2014.  Although afterschool program participation remains stable, overall parent satisfaction with their child’s afterschool program has grown in Indiana.  In 2004, 80 percent of Indiana parents were satisfied with their child’s afterschool program overall; in 2014, close to 9 in 10 parents are satisfied.  "
"p_of_parents_agree_should_provide_snacks","IN","71"
"p_of_parents_programs_offers_snacks","IN","75"
"p_of_parents_satisfied_programs_snacks","IN","74"
"p_of_parents_satisfied_healthy_snacks","IN","71"
"p_of_parents_snacks_important","IN","59"
"p_of_parents_healthy_snacks_important","IN","64"
"p_of_parents_agree_should_provide_physical","IN","76"
"p_of_parents_programs_offers_physical","IN","84"
"p_of_parents_satisfied_programs_physical_amount","IN","82"
"p_of_parents_satisfied_programs_physical_variety","IN","75"
"p_of_parents_physical_important","IN","74"
"p_family_child_summer_2013","IN","25"
"p_family_child_summer_2008","IN","20"
"p_family_want_summer","IN","46"
"p_of_parents_agree_summer_academic","IN","74"
"avg_hr_per_day_summer","IN","5.09"
"avg_weeks_per_summer","IN","4.72"
"avg_dollars_per_week_summer","IN","378.3"
"p_of_parents_support_public_funding_summer","IN","87"
"p_of_parents_support_public_funding_summer_2009","IN","79"
"p_of_parents_report_stem_learning_opp","IN","65"
"p_of_parents_satisfied_stem_program","IN","59"
"p_of_parents_consider_stem_as_factor","IN","37"
"p_of_parents_agree_children_gain_stem","IN","57"
"p_of_parents_agree_should_provide_stem","IN","67"
"p_of_children_in_programs_2014","IA","13.6"
"p_of_children_in_programs_2009","IA","11"
"p_of_children_in_programs_2004","IA","11"
"avg_hr_per_week_in_programs","IA","8.17"
"avg_day_per_week_in_programs","IA","3.99"
"p_of_children_would_be_enrolled_2014","IA","33.4"
"p_of_children_would_be_enrolled_2009","IA","35"
"p_of_children_would_be_enrolled_2004","IA","25"
"p_of_children_alone_2014","IA","22.8"
"p_of_children_alone_2009","IA","32"
"p_of_children_alone_2004","IA","29"
"avg_hr_per_week_alone","IA","7.33"
"reason_1_not_enrolling_child","IA","Preference for alternative activities"
"reason_2_not_enrolling_child","IA","The afterschool programs are too expensive"
"reason_3_not_enrolling_child","IA",""
"ans_1_type_activity","IA","Opportunities for reading or writing"
"p_for_ans_1_type_activity","IA","84.4"
"ans_2_type_activity","IA","Opportunities for physical activity"
"p_for_ans_2_type_activity","IA","79.7"
"ans_3_type_activity","IA","Beverages, snacks and/or meals"
"p_for_ans_3_type_activity","IA","76.3"
"ans_4_type_activity","IA","Homework assistance"
"p_for_ans_4_type_activity","IA","73.8"
"ans_5_type_activity","IA","STEM learning opportunities"
"p_for_ans_5_type_activity","IA","71.9"
"p_of_parents_programs_excite_abt_learning","IA","58.8"
"p_of_parents_programs_help_child_gain_skills","IA","61.6"
"p_of_parents_programs_reduce_risky","IA","72.9"
"p_of_parents_support_public_funding_2014","IA","75.1"
"p_of_parents_support_public_funding_2009","IA","76"
"p_of_parents_receive_public_funding","IA","45.2"
"p_of_parents_satisfied_child_program_2014","IA","87.2"
"p_of_parents_satisfied_child_program_2009","IA","92"
"p_of_parents_satisfied_child_program_2004","IA","85"
"p_of_parents_satisfied_program_safe","IA","89.2"
"p_of_parents_satisfied_program_quality_of_care","IA","88.2"
"ans_1_select_program","IA","Is a safe haven"
"p_for_ans_1_select_program","IA","85.5"
"ans_2_select_program","IA","My child enjoys the program"
"p_for_ans_2_select_program","IA","84.4"
"ans_3_select_program","IA","Knowledgeable and well-trained staff"
"p_for_ans_3_select_program","IA","84.2"
"ans_4_select_program","IA","Location is convenient"
"p_for_ans_4_select_program","IA","80.7"
"ans_5_select_program","IA","The hours meet parents' needs"
"p_for_ans_5_select_program","IA","80.7"
"p_of_parents_program_public_school_bldg","IA","86.7"
"ans_1_program_provider","IA","Afterschool program run by a public school"
"ans_2_program_provider","IA","Boys & Girls Club afterschool program"
"ans_3_program_provider","IA","Afterschool program run by city or town (including Parks and Recreation Department)"
"ans_4_program_provider","IA",""
"p_of_boys_program","IA","33.7"
"p_of_girls_program","IA","66.3"
"p_of_children_programs_qualify_federal_asst","IA","48.6"
"avg_dolllars_spent_per_week_program","IA","62.2"
"num_households_surveyed_2014","IA","208"
"num_children_screened_2014","IA","760"
"err_margin_households_surveyed_2014","IA","5"
"err_margin_children_screened_2014","IA","3.6"
"p_of_children_alone_2014_6_to_8","IA","30.3"
"p_of_children_alone_2014_9_to_12","IA","44.9"
"p_of_children_alone_2014_k_to_5","IA","3.2"
"p_of_children_in_programs_2014_6_to_8","IA","13"
"p_of_children_in_programs_2014_9_to_12","IA","6.6"
"p_of_children_in_programs_2014_k_to_5","IA","19.1"
"p_of_children_would_be_enrolled_2014_6_to_8","IA","35.5"
"p_of_children_would_be_enrolled_2014_9_to_12","IA","15.8"
"p_of_children_would_be_enrolled_2014_k_to_5","IA","47.7"
"is_top_ten","IA","FALSE"
"p_of_parents_working_parents_peace","IA","70.2"
"p_of_parents_working_parents_keep_jobs","IA","69.8"
"real_of_children_in_programs_2014","IA","68,516"
"real_of_children_would_be_enrolled_2014","IA","145,383"
"real_of_children_alone_2014","IA","114,865"
"intro_text","IA","After holding steady at 11 percent in 2004 and 2009, Iowa saw a three percentage point increase in afterschool program participation in 2014, rising to 14 percent.   The average time Iowa children spend per week in afterschool programs also increased, from 6 hours in 2009 to more than 8 hours in 2014.  A greater number of Iowa parents were satisfied with their child’s afterschool program in 2014, with an increase in the percentage of parents satisfied with their child’s afterschool program’s quality of care, variety of activities and cost when compared to 2009 responses."
"p_of_parents_agree_should_provide_snacks","IA","72"
"p_of_parents_programs_offers_snacks","IA","76"
"p_of_parents_satisfied_programs_snacks","IA","64"
"p_of_parents_satisfied_healthy_snacks","IA","65"
"p_of_parents_snacks_important","IA","65"
"p_of_parents_healthy_snacks_important","IA","68"
"p_of_parents_agree_should_provide_physical","IA","81"
