slug,state,place,text
FOOTNOTE,GA,text,"In Georgia, 349 households and 1,991 children were screened for this study. According to the Department of Education, National Center for Education Statistics data for 2011-2012, the total school enrollment in Georgia is 1,743,537, which is the foundation for all statewide projections in Georgia After 3PM. "
p_of_children_in_programs_,HI,title,Afterschool program participation in Hawaii
p_of_children_in_programs_,HI,text,"In 2014, 26% of Hawaii's children participate in an afterschool program, compared to 28% in 2009 and 35% in 2004. "
avg_hr_per_week_in_programs,HI,title,Average time per week children spend in an afterschool program
avg_hr_per_week_in_programs,HI,text,"For the purposes of this study, timing was limited to 15 hours per week in afterschool care, reflecting the hours of 3 to 6 p.m. "
p_of_children_in_programs_2014_,HI,title,"Children in an afterschool program, by grade"
p_of_children_in_programs_2014_,HI,text,"In 2014, 40% of Hawaii's children in grades K-5 participate in an afterschool program, compared to 16% in grades 6-8 and 10% in grades 9-12."
p_of_boys_program,HI,title," Children in an afterschool program, by gender"
avg_dolllars_spent_per_week_program,HI,title,Average weekly cost of afterschool programs
avg_dolllars_spent_per_week_program,HI,text,The average weekly cost only includes parents who report that they pay a fee for their child's afterschool program.
just_text_demand_children_in_afterschool,HI,text,"Most families piece together a variety of afterschool solutions, with 60% of Hawaii's K-12 children spending some portion of the hours after school in the care of a parent or guardian. Other afterschool arrangements include traditional child care centers (6%); sibling care (13%); and non-parental adult care, such as a grandparent or neighbor (32%). "
p_of_children_would_be_enrolled_,HI,title,Children who would participate if an afterschool program were available
p_of_children_would_be_enrolled_,HI,text,"In 2014, 38% of Hawaii's children would participate in an afterschool program if one were available, compared to 39% in 2009 and 20% in 2004."
p_of_children_alone_,HI,title,Children unsupervised after school
p_of_children_alone_,HI,text,"In 2014, 17% of Hawaii's children were alone and unsupervised between the hours of 3 and 6 p.m. "
avg_hr_per_week_alone,HI,title,Average time per week children spend alone & unsupervised after school
avg_hr_per_week_alone,HI,text,"For the purposes of this study, timing was limited to 15 hours per week, reflecting the hours of 3 to 6 p.m."
p_of_children_alone_2014_,HI,title,"Children unsupervised after school, by grade"
p_of_children_alone_2014_,HI,text,"In 2014, 17% of Hawaii's children in grades K-8 were unsupervised after school, compared to 40% in grades 9-12."
just_text_demand_unmet,HI,title,What barriers to afterschool program enrollment are Hawaii families facing?
just_text_demand_unmet,HI,text,"After lack of need, the predominant challenges parents face enrolling their child in an afterschool program include: <ul><li>Preference for alternative activities</li><li>The afterschool programs are too expensive</li></ul>"
p_of_parents_satisfied_child_program_,HI,title,Parents satisfied with their child's afterschool program
p_of_parents_satisfied_child_program_,HI,text,"In 2014, 89% of Hawaii's parents were satisfied with their child's afterschool program, compared to 93% in 2009 and 100% in 2004."
ans_1_select_program,HI,title, Top 5 factors in parents' selection of an afterschool program
ans_1_select_program,HI,text,<ul><li>The hours meet parents' needs</li><li>Location is convenient</li><li>Quality of care</li><li>Is a safe haven</li><li>Their child enjoys the afterschool program</li></ul>
ans_1_type_activity,HI,title,Top 5 activities/services offered by afterschool programs
ans_1_type_activity,HI,text,<ul><li>Opportunities for physical activity</li><li>Homework assistance</li><li>Music or art</li><li>Before-school programs</li><li>Opportunities for reading or writing</li></ul>
p_of_parents_satisfied_program_safe,HI,title,Parents satisfied with the safe environment of their child's afterschool program
p_of_parents_satisfied_program_quality_of_care,HI,title,Parents satisfied with the quality of care in their child's afterschool program
ans_1_program_provider,HI,title,Most common afterschool program providers
ans_1_program_provider,HI,text,<ol><li>Public school</li><li>YMCAs</li><li>Private school</li></ol>
p_of_parents_program_public_school_bldg,HI,text,of afterschool programs are located in a public school building 
p_of_parents_programs_excite_abt_learning,HI,title,Parents agree that afterschool programs excite children about learning
p_of_parents_programs_help_child_gain_skills,HI,title,Parents agree that afterschool programs help children gain workforce skills
p_of_parents_programs_help_child_gain_skills,HI,text,"64% Hawaii parents agree that afterschool programs can help children gain workforce skills such as teamwork, leadership and critical thinking. "
p_of_parents_programs_reduce_risky,HI,title,Parents agree that afterschool programs reduce the likelihood that youth will engage in risky behaviors
p_of_parents_programs_reduce_risky,HI,text,"75% Hawaii parents agree that afterschool programs can help reduce the likelihood that youth will engage in risky behaviors, such as commit a crime, abuse drugs or engage in sexual activity."
p_of_parents_working_parents_peace,HI,text,of Hawaii parents agree that afterschool programs help give working parents peace of mind about their children when they are at work.
p_of_parents_support_public_funding_2014,HI,text,"of Hawaii parents support public funding for afterschool programs, while just 16% report receiving government assistance with the cost of afterschool."
FOOTNOTE,HI,text,"In Hawaii, 200 households and 382 children were screened for this study. According to the Department of Education, National Center for Education Statistics data for 2011-2012, the total school enrollment in Hawaii is 210,833, which is the foundation for all statewide projections in Hawaii After 3PM. "
p_of_children_in_programs_,ID,title,Afterschool program participation in Idaho
p_of_children_in_programs_,ID,text,"In 2014, 8% of Idaho's children participate in an afterschool program, compared to 9% in 2009 and 9% in 2004. "
avg_hr_per_week_in_programs,ID,title,Average time per week children spend in an afterschool program
avg_hr_per_week_in_programs,ID,text,"For the purposes of this study, timing was limited to 15 hours per week in afterschool care, reflecting the hours of 3 to 6 p.m. "
p_of_children_in_programs_2014_,ID,title,"Children in an afterschool program, by grade"
p_of_children_in_programs_2014_,ID,text,"In 2014, 11% of Idaho's children in grades K-5 participate in an afterschool program, compared to 11% in grades 6-8 and 3% in grades 9-12."
p_of_boys_program,ID,title," Children in an afterschool program, by gender"
avg_dolllars_spent_per_week_program,ID,title,Average weekly cost of afterschool programs
avg_dolllars_spent_per_week_program,ID,text,The average weekly cost only includes parents who report that they pay a fee for their child's afterschool program.
just_text_demand_children_in_afterschool,ID,text,"Most families piece together a variety of afterschool solutions, with 71% of Idaho's K-12 children spending some portion of the hours after school in the care of a parent or guardian. Other afterschool arrangements include traditional child care centers (6%); sibling care (15%); and non-parental adult care, such as a grandparent or neighbor (27%). "
p_of_children_would_be_enrolled_,ID,title,Children who would participate if an afterschool program were available
p_of_children_would_be_enrolled_,ID,text,"In 2014, 42% of Idaho's children would participate in an afterschool program if one were available, compared to 31% in 2009 and 32% in 2004."
p_of_children_alone_,ID,title,Children unsupervised after school
p_of_children_alone_,ID,text,"In 2014, 19% of Idaho's children were alone and unsupervised between the hours of 3 and 6 p.m. "
avg_hr_per_week_alone,ID,title,Average time per week children spend alone & unsupervised after school
avg_hr_per_week_alone,ID,text,"For the purposes of this study, timing was limited to 15 hours per week, reflecting the hours of 3 to 6 p.m."
p_of_children_alone_2014_,ID,title,"Children unsupervised after school, by grade"
p_of_children_alone_2014_,ID,text,"In 2014, 3% of Idaho's children in grades K-5 were unsupervised after school, compared to 23% in grades 6-8 and 39% in grades 9-12."
just_text_demand_unmet,ID,title,What barriers to afterschool program enrollment are Idaho families facing?
just_text_demand_unmet,ID,text,"After lack of need, the predominant challenges parents face enrolling their child in an afterschool program include: <ul><li>Preference for alternative activities</li><li>The afterschool programs are too expensive</li></ul>"
p_of_parents_satisfied_child_program_,ID,title,Parents satisfied with their child's afterschool program
p_of_parents_satisfied_child_program_,ID,text,"In 2014, 90% of Idaho's parents were satisfied with their child's afterschool program, compared to 69% in 2009 and 93% in 2004."
ans_1_select_program,ID,title, Top 5 factors in parents' selection of an afterschool program
ans_1_select_program,ID,text,<ul><li>Homework assistance offered</li><li>Opportunities for reading or writing offered</li><li>Is a safe haven</li><li>Program cost</li><li>The hours meet parents' needs</li></ul>
ans_1_type_activity,ID,title,Top 5 activities/services offered by afterschool programs
ans_1_type_activity,ID,text,"<ul><li>Homework assistance</li><li>STEM learning opportunities</li><li>Opportunities for reading or writing</li><li>Opportunities for physical activity</li><li>Beverages, snacks and/or meals</li></ul>"
p_of_parents_satisfied_program_safe,ID,title,Parents satisfied with the safe environment of their child's afterschool program
p_of_parents_satisfied_program_quality_of_care,ID,title,Parents satisfied with the quality of care in their child's afterschool program
ans_1_program_provider,ID,title,Most common afterschool program providers
ans_1_program_provider,ID,text,<ol><li>Public school</li><li>Boys & Girls Clubs</li><li>4-Hs</li></ol>
p_of_parents_program_public_school_bldg,ID,text,of afterschool programs are located in a public school building 
p_of_parents_programs_excite_abt_learning,ID,title,Parents agree that afterschool programs excite children about learning
p_of_parents_programs_help_child_gain_skills,ID,title,Parents agree that afterschool programs help children gain workforce skills
p_of_parents_programs_help_child_gain_skills,ID,text,"60% Idaho parents agree that afterschool programs can help children gain workforce skills such as teamwork, leadership and critical thinking. "
p_of_parents_programs_reduce_risky,ID,title,Parents agree that afterschool programs reduce the likelihood that youth will engage in risky behaviors
p_of_parents_programs_reduce_risky,ID,text,"69% Idaho parents agree that afterschool programs can help reduce the likelihood that youth will engage in risky behaviors, such as commit a crime, abuse drugs or engage in sexual activity."
p_of_parents_working_parents_peace,ID,text,of Idaho parents agree that afterschool programs help give working parents peace of mind about their children when they are at work.
p_of_parents_support_public_funding_2014,ID,text,"of Idaho parents support public funding for afterschool programs, while just 8% report receiving government assistance with the cost of afterschool."
FOOTNOTE,ID,text,"In Idaho, 200 households and 553 children were screened for this study. According to the Department of Education, National Center for Education Statistics data for 2011-2012, the total school enrollment in Idaho is 288,403, which is the foundation for all statewide projections in Idaho After 3PM. "
p_of_children_in_programs_,IL,title,Afterschool program participation in Illinois
p_of_children_in_programs_,IL,text,"In 2014, 18% of Illinois's children participate in an afterschool program, compared to 16% in 2009 and 10% in 2004. "
avg_hr_per_week_in_programs,IL,title,Average time per week children spend in an afterschool program
avg_hr_per_week_in_programs,IL,text,"For the purposes of this study, timing was limited to 15 hours per week in afterschool care, reflecting the hours of 3 to 6 p.m. "
p_of_children_in_programs_2014_,IL,title,"Children in an afterschool program, by grade"
p_of_children_in_programs_2014_,IL,text,"In 2014, 23% of Illinois's children in grades K-5 participate in an afterschool program, compared to 21% in grades 6-8 and 12% in grades 9-12."
p_of_boys_program,IL,title," Children in an afterschool program, by gender"
avg_dolllars_spent_per_week_program,IL,title,Average weekly cost of afterschool programs
avg_dolllars_spent_per_week_program,IL,text,The average weekly cost only includes parents who report that they pay a fee for their child's afterschool program.
just_text_demand_children_in_afterschool,IL,text,"Most families piece together a variety of afterschool solutions, with 70% of Illinois's K-12 children spending some portion of the hours after school in the care of a parent or guardian. Other afterschool arrangements include traditional child care centers (9%); sibling care (17%); and non-parental adult care, such as a grandparent or neighbor (33%). "
p_of_children_would_be_enrolled_,IL,title,Children who would participate if an afterschool program were available
p_of_children_would_be_enrolled_,IL,text,"In 2014, 41% of Illinois's children would participate in an afterschool program if one were available, compared to 44% in 2009 and 28% in 2004."
p_of_children_alone_,IL,title,Children unsupervised after school
p_of_children_alone_,IL,text,"In 2014, 20% of Illinois's children were alone and unsupervised between the hours of 3 and 6 p.m. "
avg_hr_per_week_alone,IL,title,Average time per week children spend alone & unsupervised after school
avg_hr_per_week_alone,IL,text,"For the purposes of this study, timing was limited to 15 hours per week, reflecting the hours of 3 to 6 p.m."
p_of_children_alone_2014_,IL,title,"Children unsupervised after school, by grade"
p_of_children_alone_2014_,IL,text,"In 2014, 2% of Illinois's children in grades K-5 were unsupervised after school, compared to 20% in grades 6-8 and 28% in grades 9-12."
just_text_demand_unmet,IL,title,What barriers to afterschool program enrollment are Illinois families facing?
just_text_demand_unmet,IL,text,"After lack of need, the predominant challenges parents face enrolling their child in an afterschool program include: <ul><li>Preference for alternative activities</li><li>Lack of child's enjoyment of programs</li></ul>"
p_of_parents_satisfied_child_program_,IL,title,Parents satisfied with their child's afterschool program
p_of_parents_satisfied_child_program_,IL,text,"In 2014, 80% of Illinois's parents were satisfied with their child's afterschool program, compared to 74% in 2009 and 93% in 2004."
ans_1_select_program,IL,title, Top 5 factors in parents' selection of an afterschool program
ans_1_select_program,IL,text,<ul><li>The hours meet parents' needs</li><li>Knowledgeable and well-trained staff</li><li>Variety of activities</li><li>Homework assistance offered</li><li>Quality of care</li></ul>
ans_1_type_activity,IL,title,Top 5 activities/services offered by afterschool programs
ans_1_type_activity,IL,text,"<ul><li>Opportunities for reading or writing</li><li>Beverages, snacks and/or meals</li><li>Homework assistance</li><li>STEM learning opportunities</li><li>Academic programs/clubs</li></ul>"
p_of_parents_satisfied_program_safe,IL,title,Parents satisfied with the safe environment of their child's afterschool program
p_of_parents_satisfied_program_quality_of_care,IL,title,Parents satisfied with the quality of care in their child's afterschool program
ans_1_program_provider,IL,title,Most common afterschool program providers
ans_1_program_provider,IL,text,<ol><li>Public school</li><li>Religious organization</li><li>YMCAs</li></ol>
p_of_parents_program_public_school_bldg,IL,text,of afterschool programs are located in a public school building 
p_of_parents_programs_excite_abt_learning,IL,title,Parents agree that afterschool programs excite children about learning
p_of_parents_programs_help_child_gain_skills,IL,title,Parents agree that afterschool programs help children gain workforce skills
p_of_parents_programs_help_child_gain_skills,IL,text,"70% Illinois parents agree that afterschool programs can help children gain workforce skills such as teamwork, leadership and critical thinking. "
p_of_parents_programs_reduce_risky,IL,title,Parents agree that afterschool programs reduce the likelihood that youth will engage in risky behaviors
p_of_parents_programs_reduce_risky,IL,text,"72% Illinois parents agree that afterschool programs can help reduce the likelihood that youth will engage in risky behaviors, such as commit a crime, abuse drugs or engage in sexual activity."
p_of_parents_working_parents_peace,IL,text,of Illinois parents agree that afterschool programs help give working parents peace of mind about their children when they are at work.
p_of_parents_support_public_funding_2014,IL,text,"of Illinois parents support public funding for afterschool programs, while just 36% report receiving government assistance with the cost of afterschool."
FOOTNOTE,IL,text,"In Illinois, 407 households and 1,959 children were screened for this study. According to the Department of Education, National Center for Education Statistics data for 2011-2012, the total school enrollment in Illinois is 2,199,949, which is the foundation for all statewide projections in Illinois After 3PM. "
p_of_children_in_programs_,IN,title,Afterschool program participation in Indiana
p_of_children_in_programs_,IN,text,"In 2014, 11% of Indiana's children participate in an afterschool program, compared to 10% in 2009 and 10% in 2004. "
avg_hr_per_week_in_programs,IN,title,Average time per week children spend in an afterschool program
avg_hr_per_week_in_programs,IN,text,"For the purposes of this study, timing was limited to 15 hours per week in afterschool care, reflecting the hours of 3 to 6 p.m. "
p_of_children_in_programs_2014_,IN,title,"Children in an afterschool program, by grade"
p_of_children_in_programs_2014_,IN,text,"In 2014, 17% of Indiana's children in grades K-5 participate in an afterschool program, compared to 8% in grades 6-8 and 4% in grades 9-12."
p_of_boys_program,IN,title," Children in an afterschool program, by gender"
avg_dolllars_spent_per_week_program,IN,title,Average weekly cost of afterschool programs
avg_dolllars_spent_per_week_program,IN,text,The average weekly cost only includes parents who report that they pay a fee for their child's afterschool program.
just_text_demand_children_in_afterschool,IN,text,"Most families piece together a variety of afterschool solutions, with 72% of Indiana's K-12 children spending some portion of the hours after school in the care of a parent or guardian. Other afterschool arrangements include traditional child care centers (5%); sibling care (14%); and non-parental adult care, such as a grandparent or neighbor (25%). "
p_of_children_would_be_enrolled_,IN,title,Children who would participate if an afterschool program were available
p_of_children_would_be_enrolled_,IN,text,"In 2014, 31% of Indiana's children would participate in an afterschool program if one were available, compared to 36% in 2009 and 26% in 2004."
p_of_children_alone_,IN,title,Children unsupervised after school
p_of_children_alone_,IN,text,"In 2014, 20% of Indiana's children were alone and unsupervised between the hours of 3 and 6 p.m. "
avg_hr_per_week_alone,IN,title,Average time per week children spend alone & unsupervised after school
avg_hr_per_week_alone,IN,text,"For the purposes of this study, timing was limited to 15 hours per week, reflecting the hours of 3 to 6 p.m."
p_of_children_alone_2014_,IN,title,"Children unsupervised after school, by grade"
p_of_children_alone_2014_,IN,text,"In 2014, 5% of Indiana's children in grades K-5 were unsupervised after school, compared to 20% in grades 6-8 and 58% in grades 9-12."
just_text_demand_unmet,IN,title,What barriers to afterschool program enrollment are Indiana families facing?
just_text_demand_unmet,IN,text,"After lack of need, the predominant challenges parents face enrolling their child in an afterschool program include: <ul><li>Preference for alternative activities</li><li>Lack of child's enjoyment of programs</li></ul>"
p_of_parents_satisfied_child_program_,IN,title,Parents satisfied with their child's afterschool program
p_of_parents_satisfied_child_program_,IN,text,"In 2014, 88% of Indiana's parents were satisfied with their child's afterschool program, compared to 87% in 2009 and 80% in 2004."
ans_1_select_program,IN,title, Top 5 factors in parents' selection of an afterschool program
ans_1_select_program,IN,text,<ul><li>Their child enjoys the afterschool program</li><li>Is a safe haven</li><li>Quality of care</li><li>Location is convenient</li><li>The hours meet parents' needs</li></ul>
ans_1_type_activity,IN,title,Top 5 activities/services offered by afterschool programs
ans_1_type_activity,IN,text,"<ul><li>Opportunities for physical activity</li><li>Homework assistance</li><li>Opportunities for reading or writing</li><li>Beverages, snacks and/or meals</li><li>STEM learning opportunities</li></ul>"
p_of_parents_satisfied_program_safe,IN,title,Parents satisfied with the safe environment of their child's afterschool program
p_of_parents_satisfied_program_quality_of_care,IN,title,Parents satisfied with the quality of care in their child's afterschool program
ans_1_program_provider,IN,title,Most common afterschool program providers
ans_1_program_provider,IN,text,<ol><li>Public school</li><li>YMCAs</li><li>Boys & Girls Clubs</li></ol>
p_of_parents_program_public_school_bldg,IN,text,of afterschool programs are located in a public school building 
p_of_parents_programs_excite_abt_learning,IN,title,Parents agree that afterschool programs excite children about learning
p_of_parents_programs_help_child_gain_skills,IN,title,Parents agree that afterschool programs help children gain workforce skills
p_of_parents_programs_help_child_gain_skills,IN,text,"59% Indiana parents agree that afterschool programs can help children gain workforce skills such as teamwork, leadership and critical thinking. "
p_of_parents_programs_reduce_risky,IN,title,Parents agree that afterschool programs reduce the likelihood that youth will engage in risky behaviors
p_of_parents_programs_reduce_risky,IN,text,"71% Indiana parents agree that afterschool programs can help reduce the likelihood that youth will engage in risky behaviors, such as commit a crime, abuse drugs or engage in sexual activity."
p_of_parents_working_parents_peace,IN,text,of Indiana parents agree that afterschool programs help give working parents peace of mind about their children when they are at work.
p_of_parents_support_public_funding_2014,IN,text,"of Indiana parents support public funding for afterschool programs, while just 15% report receiving government assistance with the cost of afterschool."
FOOTNOTE,IN,text,"In Indiana, 251 households and 1,666 children were screened for this study. According to the Department of Education, National Center for Education Statistics data for 2011-2012, the total school enrollment in Indiana is 1,119,661, which is the foundation for all statewide projections in Indiana After 3PM. "
p_of_children_in_programs_,IA,title,Afterschool program participation in Iowa
p_of_children_in_programs_,IA,text,"In 2014, 14% of Iowa's children participate in an afterschool program, compared to 11% in 2009 and 11% in 2004. "
avg_hr_per_week_in_programs,IA,title,Average time per week children spend in an afterschool program
avg_hr_per_week_in_programs,IA,text,"For the purposes of this study, timing was limited to 15 hours per week in afterschool care, reflecting the hours of 3 to 6 p.m. "
p_of_children_in_programs_2014_,IA,title,"Children in an afterschool program, by grade"
p_of_children_in_programs_2014_,IA,text,"In 2014, 19% of Iowa's children in grades K-5 participate in an afterschool program, compared to 13% in grades 6-8 and 7% in grades 9-12."
p_of_boys_program,IA,title," Children in an afterschool program, by gender"
avg_dolllars_spent_per_week_program,IA,title,Average weekly cost of afterschool programs
avg_dolllars_spent_per_week_program,IA,text,The average weekly cost only includes parents who report that they pay a fee for their child's afterschool program.
just_text_demand_children_in_afterschool,IA,text,"Most families piece together a variety of afterschool solutions, with 63% of Iowa's K-12 children spending some portion of the hours after school in the care of a parent or guardian. Other afterschool arrangements include traditional child care centers (7%); sibling care (13%); and non-parental adult care, such as a grandparent or neighbor (24%). "
p_of_children_would_be_enrolled_,IA,title,Children who would participate if an afterschool program were available
p_of_children_would_be_enrolled_,IA,text,"In 2014, 33% of Iowa's children would participate in an afterschool program if one were available, compared to 35% in 2009 and 25% in 2004."
p_of_children_alone_,IA,title,Children unsupervised after school
p_of_children_alone_,IA,text,"In 2014, 23% of Iowa's children were alone and unsupervised between the hours of 3 and 6 p.m. "
avg_hr_per_week_alone,IA,title,Average time per week children spend alone & unsupervised after school
avg_hr_per_week_alone,IA,text,"For the purposes of this study, timing was limited to 15 hours per week, reflecting the hours of 3 to 6 p.m."
p_of_children_alone_2014_,IA,title,"Children unsupervised after school, by grade"
p_of_children_alone_2014_,IA,text,"In 2014, 3% of Iowa's children in grades K-5 were unsupervised after school, compared to 30% in grades 6-8 and 45% in grades 9-12."
just_text_demand_unmet,IA,title,What barriers to afterschool program enrollment are Iowa families facing?
just_text_demand_unmet,IA,text,"After lack of need, the predominant challenges parents face enrolling their child in an afterschool program include: <ul><li>Preference for alternative activities</li><li>The afterschool programs are too expensive</li></ul>"
p_of_parents_satisfied_child_program_,IA,title,Parents satisfied with their child's afterschool program
p_of_parents_satisfied_child_program_,IA,text,"In 2014, 87% of Iowa's parents were satisfied with their child's afterschool program, compared to 92% in 2009 and 85% in 2004."
ans_1_select_program,IA,title, Top 5 factors in parents' selection of an afterschool program
ans_1_select_program,IA,text,<ul><li>Is a safe haven</li><li>Their child enjoys the afterschool program</li><li>Knowledgeable and well-trained staff</li><li>Location is convenient</li><li>The hours meet parents' needs</li></ul>
ans_1_type_activity,IA,title,Top 5 activities/services offered by afterschool programs
ans_1_type_activity,IA,text,"<ul><li>Opportunities for reading or writing</li><li>Opportunities for physical activity</li><li>Beverages, snacks and/or meals</li><li>Homework assistance</li><li>STEM learning opportunities</li></ul>"
p_of_parents_satisfied_program_safe,IA,title,Parents satisfied with the safe environment of their child's afterschool program
p_of_parents_satisfied_program_quality_of_care,IA,title,Parents satisfied with the quality of care in their child's afterschool program
ans_1_program_provider,IA,title,Most common afterschool program providers
ans_1_program_provider,IA,text,<ol><li>Public school</li><li>Boys & Girls Clubs</li><li>City or town (including Parks and Recreation Department)</li></ol>
p_of_parents_program_public_school_bldg,IA,text,of afterschool programs are located in a public school building 
p_of_parents_programs_excite_abt_learning,IA,title,Parents agree that afterschool programs excite children about learning
p_of_parents_programs_help_child_gain_skills,IA,title,Parents agree that afterschool programs help children gain workforce skills
p_of_parents_programs_help_child_gain_skills,IA,text,"62% Iowa parents agree that afterschool programs can help children gain workforce skills such as teamwork, leadership and critical thinking. "
p_of_parents_programs_reduce_risky,IA,title,Parents agree that afterschool programs reduce the likelihood that youth will engage in risky behaviors
p_of_parents_programs_reduce_risky,IA,text,"73% Iowa parents agree that afterschool programs can help reduce the likelihood that youth will engage in risky behaviors, such as commit a crime, abuse drugs or engage in sexual activity."
p_of_parents_working_parents_peace,IA,text,of Iowa parents agree that afterschool programs help give working parents peace of mind about their children when they are at work.
p_of_parents_support_public_funding_2014,IA,text,"of Iowa parents support public funding for afterschool programs, while just 45% report receiving government assistance with the cost of afterschool."
FOOTNOTE,IA,text,"In Iowa, 208 households and 760 children were screened for this study. According to the Department of Education, National Center for Education Statistics data for 2011-2012, the total school enrollment in Iowa is 503,793, which is the foundation for all statewide projections in Iowa After 3PM. "
p_of_children_in_programs_,KS,title,Afterschool program participation in Kansas
p_of_children_in_programs_,KS,text,"In 2014, 14% of Kansas's children participate in an afterschool program, compared to 13% in 2009 and 9% in 2004. "
avg_hr_per_week_in_programs,KS,title,Average time per week children spend in an afterschool program
avg_hr_per_week_in_programs,KS,text,"For the purposes of this study, timing was limited to 15 hours per week in afterschool care, reflecting the hours of 3 to 6 p.m. "
p_of_children_in_programs_2014_,KS,title,"Children in an afterschool program, by grade"
p_of_children_in_programs_2014_,KS,text,"In 2014, 18% of Kansas's children in grades K-5 participate in an afterschool program, compared to 13% in grades 6-8 and 10% in grades 9-12."
p_of_boys_program,KS,title," Children in an afterschool program, by gender"
avg_dolllars_spent_per_week_program,KS,title,Average weekly cost of afterschool programs
avg_dolllars_spent_per_week_program,KS,text,The average weekly cost only includes parents who report that they pay a fee for their child's afterschool program.
just_text_demand_children_in_afterschool,KS,text,"Most families piece together a variety of afterschool solutions, with 69% of Kansas's K-12 children spending some portion of the hours after school in the care of a parent or guardian. Other afterschool arrangements include traditional child care centers (6%); sibling care (10%); and non-parental adult care, such as a grandparent or neighbor (21%). "
p_of_children_would_be_enrolled_,KS,title,Children who would participate if an afterschool program were available
p_of_children_would_be_enrolled_,KS,text,"In 2014, 31% of Kansas's children would participate in an afterschool program if one were available, compared to 31% in 2009 and 23% in 2004."
p_of_children_alone_,KS,title,Children unsupervised after school
p_of_children_alone_,KS,text,"In 2014, 19% of Kansas's children were alone and unsupervised between the hours of 3 and 6 p.m. "
avg_hr_per_week_alone,KS,title,Average time per week children spend alone & unsupervised after school
avg_hr_per_week_alone,KS,text,"For the purposes of this study, timing was limited to 15 hours per week, reflecting the hours of 3 to 6 p.m."
p_of_children_alone_2014_,KS,title,"Children unsupervised after school, by grade"
p_of_children_alone_2014_,KS,text,"In 2014, 2% of Kansas's children in grades K-5 were unsupervised after school, compared to 33% in grades 6-8 and 27% in grades 9-12."
just_text_demand_unmet,KS,title,What barriers to afterschool program enrollment are Kansas families facing?
just_text_demand_unmet,KS,text,"After lack of need, the predominant challenges parents face enrolling their child in an afterschool program include: <ul><li>Preference for alternative activities</li><li>The afterschool programs are too expensive</li></ul>"
p_of_parents_satisfied_child_program_,KS,title,Parents satisfied with their child's afterschool program
p_of_parents_satisfied_child_program_,KS,text,"In 2014, 70% of Kansas's parents were satisfied with their child's afterschool program, compared to 95% in 2009 and 100% in 2004."
ans_1_select_program,KS,title, Top 5 factors in parents' selection of an afterschool program
ans_1_select_program,KS,text,<ul><li>Is a safe haven</li><li>Quality of care</li><li>The hours meet parents' needs</li><li>Location is convenient</li><li>Physical activity opportunities</li></ul>
ans_1_type_activity,KS,title,Top 5 activities/services offered by afterschool programs
ans_1_type_activity,KS,text,"<ul><li>Opportunities for physical activity</li><li>Beverages, snacks and/or meals</li><li>Homework assistance</li><li>STEM learning opportunities</li><li>Opportunities for reading or writing</li></ul>"
p_of_parents_satisfied_program_safe,KS,title,Parents satisfied with the safe environment of their child's afterschool program
p_of_parents_satisfied_program_quality_of_care,KS,title,Parents satisfied with the quality of care in their child's afterschool program
ans_1_program_provider,KS,title,Most common afterschool program providers
ans_1_program_provider,KS,text,<ol><li>Public school</li><li>YMCAs</li><li>Boys & Girls Clubs</li></ol>
p_of_parents_program_public_school_bldg,KS,text,of afterschool programs are located in a public school building 
p_of_parents_programs_excite_abt_learning,KS,title,Parents agree that afterschool programs excite children about learning
p_of_parents_programs_help_child_gain_skills,KS,title,Parents agree that afterschool programs help children gain workforce skills
p_of_parents_programs_help_child_gain_skills,KS,text,"53% Kansas parents agree that afterschool programs can help children gain workforce skills such as teamwork, leadership and critical thinking. "
p_of_parents_programs_reduce_risky,KS,title,Parents agree that afterschool programs reduce the likelihood that youth will engage in risky behaviors
p_of_parents_programs_reduce_risky,KS,text,"67% Kansas parents agree that afterschool programs can help reduce the likelihood that youth will engage in risky behaviors, such as commit a crime, abuse drugs or engage in sexual activity."
p_of_parents_working_parents_peace,KS,text,of Kansas parents agree that afterschool programs help give working parents peace of mind about their children when they are at work.
p_of_parents_support_public_funding_2014,KS,text,"of Kansas parents support public funding for afterschool programs, while just 27% report receiving government assistance with the cost of afterschool."
FOOTNOTE,KS,text,"In Kansas, 200 households and 606 children were screened for this study. According to the Department of Education, National Center for Education Statistics data for 2011-2012, the total school enrollment in Kansas is 495,827, which is the foundation for all statewide projections in Kansas After 3PM. "
p_of_children_in_programs_,KY,title,Afterschool program participation in Kentucky
p_of_children_in_programs_,KY,text,"In 2014, 15% of Kentucky's children participate in an afterschool program, compared to 12% in 2009 and 7% in 2004. "
avg_hr_per_week_in_programs,KY,title,Average time per week children spend in an afterschool program
avg_hr_per_week_in_programs,KY,text,"For the purposes of this study, timing was limited to 15 hours per week in afterschool care, reflecting the hours of 3 to 6 p.m. "
p_of_children_in_programs_2014_,KY,title,"Children in an afterschool program, by grade"
p_of_children_in_programs_2014_,KY,text,"In 2014, 17% of Kentucky's children in grades K-5 participate in an afterschool program, compared to 16% in grades 6-8 and 14% in grades 9-12."
p_of_boys_program,KY,title," Children in an afterschool program, by gender"
avg_dolllars_spent_per_week_program,KY,title,Average weekly cost of afterschool programs
avg_dolllars_spent_per_week_program,KY,text,The average weekly cost only includes parents who report that they pay a fee for their child's afterschool program.
